S1 No,builder_name,builder_number,user_name,email,mobile,designation,company_pan,type_of_entity,cin,address_line_1,address_line_2,address_line_3,city,state,pincode,status,created_at
,Divy Hospitality Private Limited,575140,Divy Hospitality Private Limited,,,,,Private Limited,U55101MP2013PTC031238,"103 KANCHAN SAGAR 18-OLD PALASIA, A.B. ROAD INDORE",,,INDORE,MADHYA PRADESH,452010,,02/12/2022 4:06:22 PM
,Tirupati Infra,575144,Tirupati Infra,,,,,Partnership,,"SHOP NO.102,","DISHA GARDEN APARTMENT,",KAMGAR CHOWK,AURANGABAD-MS,MAHARASHTRA,431001,,02/12/2022 4:35:28 PM
,Chintamani Commercial Ventures,575169,Chintamani Commercial Ventures,,,,,Proprietory,,"1008, KP AURUM, MAROL MAROSHI ROAD, ",ANDHERI EAST,,MUMBAI,MAHARASHTRA,400059,,03/12/2022 12:04:58 PM
